MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A																									
																									
Data Acquisition			"110811 X-Prize Challenge 3A, 304L transverse tensile test, Wo=0.250"", Thicko=0.124"""			Time:	150.17554	Sec	11/9/2011 15:08																
Time	Axial Displacement	Axial Strain	Axial Force																						
Sec	in	in/in	lbf																						
0.047607422	5.21E-05	-1.15E-05	15.721677																					0	0
0.077636719	0.000100436	-2.75E-05	18.400494																					0.00055797	500
0.10766602	0.000222461	-2.40E-05	28.387583																					0.00111595	1000
0.13769531	0.000328999	1.41E-05	36.959564																					0.00167392	1500
0.16772461	0.000342375	7.82E-06	42.887741																						
0.19775391	0.000332284	1.17E-05	48.605026																						
0.2277832	0.000547471	6.87E-06	56.946186																						
0.2578125	0.000613646	3.07E-05	63.456738																						
0.2878418	0.000680056	3.39E-05	71.359047																						
0.31787109	0.000895478	4.84E-05	79.711029																						
0.34790039	0.00092528	6.80E-05	85.47245																						
0.37792969	0.001067486	5.09E-05	94.175842																						
0.40795898	0.001072414	7.65E-05	100.68497																						
0.43798828	0.001212509	8.64E-05	108.93259																						
0.46801758	0.00127446	9.75E-05	115.35638																						
0.49804688	0.001358704	0.000107787	123.10865																						
0.52807617	0.001507481	0.000118606	130.87404																						
0.55810547	0.001602286	9.87E-05	136.85075																						
0.58813477	0.001611672	0.000140337	142.40202																						
0.61816406	0.00182592	0.000110856	150.23582																						
0.64819336	0.001851029	0.000145527	152.5658																						
0.67822266	0.00183648	0.000124406	157.63254																						
0.70825195	0.002048851	0.000147972	163.69153																						
0.73828125	0.002205607	0.000164491	170.24138																						
0.76831055	0.00215797	0.000160732	174.26561																						
0.79833984	0.00229384	0.000131526	179.10567																						
0.82836914	0.002434873	0.000165747	185.35094																						
0.85839844	0.002500345	0.000180891	191.05208																						
0.88842773	0.002563704	0.000173819	194.87498																						
0.91845703	0.002668129	0.000162597	197.95987																						
0.94848633	0.002713654	0.000171476	202.30283																						
0.97851563	0.002823007	0.000136118	207.6402																						
1.0085449	0.002921566	0.000177491	213.96747																						
1.0385742	0.003034909	0.000205204	218.62045																						
1.0686035	0.00307621	0.000205905	222.38791																						
1.0986328	0.003234373	0.0002076	225.04601																						
1.1286621	0.003335748	0.00023732	228.41118																						
1.1586914	0.003365081	0.000217926	233.31696																						
1.1887207	0.00348429	0.0001528	238.32802																						
1.21875	0.003632598	0.000201591	243.91859																						
1.2487793	0.003632363	0.000234205	244.97374																						
1.2788086	0.003761663	0.00018192	250.46825																						
1.3088379	0.003798271	0.000183521	252.80788																						
1.3388672	0.003930387	0.000217939	256.78778																						
1.3688965	0.004089489	0.000248213	262.20123																						
1.3989258	0.004108731	0.000225513	265.05042																						
1.4289551	0.004209167	0.000212313	267.92828																						
1.4589844	0.004251876	0.000206466	275.82382																						
1.4890137	0.004357944	0.000237925	276.8696																						
1.519043	0.004453218	0.000202701	281.29425																						
1.5490723	0.004574774	0.000231933	285.09201																						
1.5791016	0.004635317	0.000211327	289.53717																						
1.6091309	0.004692575	0.00023774	290.81744																						
1.6391602	0.004719796	0.000270525	294.37836																						
1.6691895	0.00485637	0.000190314	300.16434																						
1.6992188	0.004980038	0.000205432	302.85883																						
1.729248	0.005092677	0.000252034	305.40787																						
1.7592773	0.005187716	0.000285713	309.68881																						
1.7893066	0.005286979	0.000217395	312.38177																						
1.8193359	0.005319128	0.000219139	315.83331																						
1.8493652	0.005357848	0.000272175	319.77576																						
1.8793945	0.005595797	0.000262765	322.74905																						
1.9094238	0.005623956	0.000243458	326.58578																						
1.9394531	0.005748328	0.000206307	330.80096																						
1.9694824	0.00577203	0.000260207	331.99426																						
1.9995117	0.005928785	0.000269317	336.6488																						
2.029541	0.006046352	0.000247719	340.05502																						
2.0595703	0.006105722	0.000269376	343.75446																						
2.0895996	0.006133881	0.000221606	344.03839																						
2.1196289	0.006179406	0.000257649	347.31247																						
2.1496582	0.006299789	0.000270369	350.58835																						
2.1796875	0.0064488	0.000247141	355.08206																						
2.2097168	0.006535861	0.000256107	357.96997																						
2.2397461	0.006680648	0.000252064	359.75772																						
2.2697754	0.006694728	0.000249604	364.09412																						
2.2998047	0.006774983	0.000283474	366.51169																						
2.329834	0.006914843	0.000243823	368.58426																						
2.3598633	0.006959194	0.000247313	372.42459																						
2.3898926	0.007072771	0.000262213	373.04288																						
2.4199219	0.007162883	0.000223278	378.25095																						
2.4499512	0.007212162	0.000233355	379.53088																						
2.4799805	0.007326913	0.000289156	382.2157																						
2.5100098	0.007310486	0.000311457	384.62723																						
2.5400391	0.007622824	0.00025241	386.47415																						
2.5700684	0.007613437	0.000234897	388.22372																						
2.6000977	0.007714108	0.000282048	391.22812																						
2.630127	0.007854907	0.000266596	395.10504																						
2.6601563	0.00785655	0.000253179	397.51239																						
2.6901855	0.008014478	0.000252387	400.25098																						
2.7202148	0.008117965	0.000282515	403.38818																						
2.7502441	0.008146594	0.000272648	404.52414																						
2.7802734	0.008225206	0.000274702	406.56705																						
2.8103027	0.008336437	0.000281598	408.0629																						
2.840332	0.008423966	0.000267925	413.02576																						
2.8703613	0.008536136	0.000284207	416.58054																						
2.9003906	0.008542472	0.000264066	417.4201																						
2.9304199	0.008752496	0.000273137	419.89767																						
2.9604492	0.008771974	0.000295979	422.74097																						
2.9904785	0.008860911	0.000282204	425.24872																						
3.0205078	0.008934596	0.000265571	427.35043																						
3.0505371	0.00903292	0.000281367	430.59247																						
3.0805664	0.00911646	0.000289989	432.37506																						
3.1105957	0.009211969	0.000267944	435.13495																						
3.140625	0.009324138	0.000249773	438.68579																						
3.1706543	0.009438419	0.000309722	440.60202																						
3.2006836	0.009536978	0.000303593	442.57281																						
3.2307129	0.00950741	0.000266504	445.04773																						
3.2607422	0.009653371	0.000273403	447.44968																						
3.2907715	0.009734565	0.000325308	448.59073																						
3.3208008	0.009900472	0.00027951	451.26797																						
3.3508301	0.009990114	0.000262172	455.21582																						
3.3808594	0.010073654	0.000291079	456.3107																						
3.4108887	0.010179019	0.000323506	459.92865																						
3.440918	0.010211871	0.000294677	461.5968																						
3.4709473	0.010321929	0.000328696	463.93176																						
3.5009766	0.010459911	0.000299814	464.06647																						
3.5310059	0.010493234	0.000304332	465.42352																						
3.5610352	0.010530545	0.000294406	469.48474																						
3.5910645	0.010721092	0.000326042	470.62479																						
3.6210938	0.010707716	0.000337624	473.4382																						
3.651123	0.01090108	0.000301383	475.14642																						
3.6811523	0.010849923	0.000312278	476.16519																						
3.7111816	0.011066283	0.000314169	480.34851																						
3.7412109	0.011144426	0.000300707	481.51266																						
3.7712402	0.011175871	0.000347163	483.93924																						
3.8012695	0.011332157	0.000326003	485.2359																						
3.8312988	0.011394109	0.000321619	486.46683																						
3.8613281	0.011442449	0.000297145	489.41702																						
3.8913574	0.01165834	0.000335497	492.98389																						
3.9213867	0.011681572	0.000342098	495.09076																						
3.951416	0.011716067	0.000338753	498.03052																						
3.9814453	0.011817442	0.000298042	498.88367																						
4.0114746	0.011849122	0.000303953	500.22781																						
4.0415039	0.012002827	0.000340454	501.94119																						
4.0715332	0.012184692	0.000347082	505.60861																						
4.1015625	0.012188446	0.000311299	506.68814																						
4.1315918	0.012264712	0.00031696	508.09137																						
4.1616211	0.012319623	0.000331888	512.67609																						
4.1916504	0.012573294	0.000353236	512.4541																						
4.2216797	0.012488347	0.000325352	515.25275																						
4.251709	0.012690392	0.000329069	517.09229																						
4.2817383	0.012850902	0.000358085	518.89758																						
