MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A																									
																									
Data Acquisition			"110811 X-Prize Challenge 3A, 304L transverse tensile test, Wo=0.2495"", Thicko=0.124"""			Time:	150.17358	Sec	11/9/2011 15:22																
Time	Axial Displacement	Axial Strain	Axial Force																						
Sec	in	in/in	lbf																						
0.045654297	-0.00040151	7.49E-06	7.9468813																					0	0
0.075683594	-0.000337681	2.16E-06	13.849792																					0.00055797	500
0.10571289	-0.000164499	2.22E-05	23.458141																					0.00111595	1000
0.13574219	-0.00014995	1.69E-05	31.17766																					0.00167392	1500
0.16577148	-9.97E-05	2.49E-05	37.115997																						
0.19580078	2.42E-05	2.68E-05	45.266865																						
0.22583008	0.000118505	5.17E-05	52.85128																						
0.25585938	0.000293095	6.02E-05	63.800446																						
0.28588867	0.000309756	6.11E-05	66.262924																						
0.31591797	0.000385788	7.00E-05	76.658867																						
0.34594727	0.000385788	7.97E-05	82.243584																						
0.37597656	0.000517199	0.000107211	90.022995																						
0.40600586	0.00071197	0.000100723	97.596695																						
0.43603516	0.000736376	0.000109801	104.88249																						
0.46606445	0.000841974	0.000107862	113.82289																						
0.49609375	0.000990986	0.00010573	118.97841																						
0.52612305	0.000979487	0.000135707	125.02297																						
0.55615234	0.001098227	0.000130453	131.71063																						
0.58618164	0.001193266	0.000123511	138.24179																						
0.61621094	0.001329606	0.000146185	144.44807																						
0.64624023	0.001387568	0.00014961	149.88857																						
0.67626953	0.001486831	0.000141167	158.26263																						
0.70629883	0.001578584	0.000169784	163.00903																						
0.73632813	0.001685826	0.000152981	168.29092																						
0.76635742	0.001667522	0.000160049	172.73633																						
0.79638672	0.001794006	0.000173726	178.66457																						
0.82641602	0.001953577	0.000183351	185.16475																						
0.85644531	0.002061992	0.000179183	191.1913																						
0.88647461	0.002138258	0.00021159	197.82631																						
0.91650391	0.002226961	0.000182693	203.15099																						
0.9465332	0.00233256	0.000210085	206.28706																						
0.9765625	0.002328571	0.000198217	210.78377																						
1.0065918	0.002460921	0.00018589	218.26422																						
1.0366211	0.002547512	0.000193739	221.68343																						
1.0666504	0.002587874	0.00021105	223.82326																						
1.0966797	0.002734774	0.000213825	230.49614																						
